"33082",NULL,"2","sex_age",NULL,NULL,NULL,NULL,NULL,"5792",NULL,"survey-text","0.0-2.0",NULL
"33082",NULL,"6","lineup",NULL,"./stims/h7.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-5.0-1.0",NULL
"33082","yn_no_deadline","8","lineup","foil","./stims/h39.bmp","70","0","1","2434","0","image-keyboard-response","0.0-7.0-0.0",NULL
"33082","yn_no_deadline","10","lineup","foil","./stims/h35.bmp","74","1","0","3460","0","image-keyboard-response","0.0-7.0-0.1",NULL
"33082","yn_no_deadline","12","lineup","foil","./stims/h44.bmp","70","0","1","1783","0","image-keyboard-response","0.0-7.0-0.2",NULL
"33082","yn_no_deadline","14","lineup","foil","./stims/h21.bmp","70","0","1","1248","0","image-keyboard-response","0.0-7.0-0.3",NULL
"33082","yn_no_deadline","16","lineup","foil","./stims/h31.bmp","70","0","1","1059","0","image-keyboard-response","0.0-7.0-0.4",NULL
"33082",NULL,"19","lineup",NULL,"./stims/h32.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-8.0-1.0",NULL
"33082","yn_no_deadline","21","lineup","target","./stims/h32.bmp","74","1","1","1273","0","image-keyboard-response","0.0-10.0-0.0",NULL
"33082","yn_no_deadline","23","lineup","foil","./stims/h39.bmp","70","0","1","633","0","image-keyboard-response","0.0-10.0-0.1",NULL
"33082","yn_no_deadline","25","lineup","foil","./stims/h15.bmp","70","0","1","642.00000000001","0","image-keyboard-response","0.0-10.0-0.2",NULL
"33082","yn_no_deadline","27","lineup","foil","./stims/h49.bmp","70","0","1","651","0","image-keyboard-response","0.0-10.0-0.3",NULL
"33082","yn_no_deadline","29","lineup","foil","./stims/h36.bmp","70","0","1","903","0","image-keyboard-response","0.0-10.0-0.4",NULL
"33082",NULL,"32","lineup",NULL,"./stims/h26.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-11.0-1.0",NULL
"33082","yn_no_deadline","34","lineup","foil","./stims/h28.bmp","70","0","1","936.99999999999","0","image-keyboard-response","0.0-13.0-0.0",NULL
"33082","yn_no_deadline","36","lineup","foil","./stims/h43.bmp","70","0","1","742.00000000003","0","image-keyboard-response","0.0-13.0-0.1",NULL
"33082","yn_no_deadline","38","lineup","target","./stims/h26.bmp","74","1","1","963","0","image-keyboard-response","0.0-13.0-0.2",NULL
"33082","yn_no_deadline","40","lineup","foil","./stims/h18.bmp","70","0","1","839","0","image-keyboard-response","0.0-13.0-0.3",NULL
"33082","yn_no_deadline","42","lineup","foil","./stims/h19.bmp","70","0","1","1376","0","image-keyboard-response","0.0-13.0-0.4",NULL
"33082",NULL,"46","lineup",NULL,"./stims/h52.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-15.0-1.0",NULL
"33082","yn_no_deadline","48","lineup","foil","./stims/h9.bmp","70","0","1","750","0","image-keyboard-response","0.0-17.0-0.0",NULL
"33082","yn_no_deadline","50","lineup","foil","./stims/h23.bmp","70","0","1","703","0","image-keyboard-response","0.0-17.0-0.1",NULL
"33082","yn_no_deadline","52","lineup","foil","./stims/h12.bmp","70","0","1","829","0","image-keyboard-response","0.0-17.0-0.2",NULL
"33082","yn_no_deadline","54","lineup","foil","./stims/h17.bmp","70","0","1","834","0","image-keyboard-response","0.0-17.0-0.3",NULL
"33082","yn_no_deadline","56","lineup","foil","./stims/h49.bmp","74","1","0","1091","0","image-keyboard-response","0.0-17.0-0.4",NULL
"33082",NULL,"59","lineup",NULL,"./stims/h18.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-18.0-1.0",NULL
"33082","yn_no_deadline","61","lineup","foil","./stims/h39.bmp","70","0","1","636","0","image-keyboard-response","0.0-20.0-0.0",NULL
"33082","yn_no_deadline","63","lineup","foil","./stims/h47.bmp","70","0","1","843.99999999997","0","image-keyboard-response","0.0-20.0-0.1",NULL
"33082","yn_no_deadline","65","lineup","foil","./stims/h15.bmp","70","0","1","709","0","image-keyboard-response","0.0-20.0-0.2",NULL
"33082","yn_no_deadline","67","lineup","target","./stims/h18.bmp","70","0","0","6249","0","image-keyboard-response","0.0-20.0-0.3",NULL
"33082","yn_no_deadline","69","lineup","foil","./stims/h34.bmp","70","0","1","835","0","image-keyboard-response","0.0-20.0-0.4",NULL
"33082",NULL,"72","lineup",NULL,"./stims/h19.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-21.0-1.0",NULL
"33082","yn_no_deadline","74","lineup","foil","./stims/h28.bmp","70","0","1","708","0","image-keyboard-response","0.0-23.0-0.0",NULL
"33082","yn_no_deadline","76","lineup","target","./stims/h19.bmp","74","1","1","856","0","image-keyboard-response","0.0-23.0-0.1",NULL
"33082","yn_no_deadline","78","lineup","foil","./stims/h8.bmp","70","0","1","534","0","image-keyboard-response","0.0-23.0-0.2",NULL
"33082","yn_no_deadline","80","lineup","foil","./stims/h11.bmp","70","0","1","616","0","image-keyboard-response","0.0-23.0-0.3",NULL
"33082","yn_no_deadline","82","lineup","foil","./stims/h24.bmp","70","0","1","926","0","image-keyboard-response","0.0-23.0-0.4",NULL
"33082",NULL,"85","lineup",NULL,"./stims/h11.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-24.0-1.0",NULL
"33082","yn_no_deadline","87","lineup","target","./stims/h11.bmp","74","1","1","849","0","image-keyboard-response","0.0-26.0-0.0",NULL
"33082","yn_no_deadline","89","lineup","foil","./stims/h5.bmp","70","0","1","739","0","image-keyboard-response","0.0-26.0-0.1",NULL
"33082","yn_no_deadline","91","lineup","foil","./stims/h52.bmp","70","0","1","447","0","image-keyboard-response","0.0-26.0-0.2",NULL
"33082","yn_no_deadline","93","lineup","foil","./stims/h27.bmp","70","0","1","502","0","image-keyboard-response","0.0-26.0-0.3",NULL
"33082","yn_no_deadline","95","lineup","foil","./stims/h46.bmp","70","0","1","678","0","image-keyboard-response","0.0-26.0-0.4",NULL
"33082",NULL,"98","lineup",NULL,"./stims/h9.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-27.0-1.0",NULL
"33082","yn_no_deadline","100","lineup","foil","./stims/h11.bmp","70","0","1","602","0","image-keyboard-response","0.0-29.0-0.0",NULL
"33082","yn_no_deadline","102","lineup","foil","./stims/h14.bmp","70","0","1","682","0","image-keyboard-response","0.0-29.0-0.1",NULL
"33082","yn_no_deadline","104","lineup","foil","./stims/h45.bmp","70","0","1","873","0","image-keyboard-response","0.0-29.0-0.2",NULL
